Serial, mut_t1, mut_t2, mut_t4, mut_t8, rw_t1, rw_t2, rw_t4, rw_t8
13856, 23918, 39424, 43144, 45578, 36700, 29027, 31489, 35570
15299, 24704, 38392, 40992, 44134, 35878, 28845, 31371, 34743
15672, 24754, 40378, 45943, 45883, 38131, 27957, 34932, 32816
14074, 23283, 38013, 45695, 44174, 34915, 28211, 30884, 34555
13639, 22985, 40013, 41436, 47957, 35205, 27979, 34234, 34201
13506, 23442, 35999, 41992, 44902, 35023, 28133, 35341, 34876
13452, 23744, 36327, 40477, 44640, 35872, 28259, 33231, 35518
13546, 22298, 36685, 39502, 45234, 35711, 26885, 30910, 35197
14176, 23404, 40591, 41974, 42346, 37076, 35463, 32491, 36413
14103, 23465, 36408, 40642, 44759, 37704, 28088, 32265, 34605
15065, 25603, 38626, 40400, 44610, 36265, 28051, 32283, 36066
13584, 24647, 40384, 42976, 45246, 36899, 28781, 31309, 35025
14815, 25404, 36978, 42814, 45216, 34731, 28648, 32648, 35522
13901, 24601, 41148, 42934, 44024, 35964, 28157, 31253, 34838
14801, 23957, 38889, 42894, 45818, 34575, 35115, 31578, 33647
15956, 24877, 38027, 43216, 47533, 34970, 29734, 31505, 33607
23691, 40693, 43233, 45384, 51057, 40323, 30224, 33769, 39318
15401, 25303, 43914, 45190, 46162, 37808, 28050, 33151, 36551
15049, 25182, 35623, 42780, 46143, 36201, 28638, 31492, 34349
13137, 24162, 35165, 42302, 46191, 36009, 35249, 31169, 33146
15438, 41564, 39621, 47076, 46743, 38677, 29612, 32789, 36902
15304, 25573, 37389, 41639, 46171, 37939, 29183, 31841, 36367
15097, 24314, 39997, 45804, 46806, 38177, 29361, 36464, 35030
15756, 23681, 37973, 42788, 46577, 36281, 28170, 36832, 36472
15339, 24977, 37422, 44096, 45426, 37087, 28631, 32215, 62599
15578, 27315, 41232, 46858, 46772, 38824, 29577, 31988, 35989
17400, 23815, 39611, 45078, 47576, 36266, 29545, 32843, 37226
16184, 24718, 39573, 46055, 46495, 38318, 30338, 31500, 38665
